S/N,Northing,,,,Easting,,,,Grade
142,7.029166667,,,,4.029166667,,,,0.55
143,7.029166667,,,,4.033333333,,,,0.45
144,7.029166667,,,,4.0375,,,,0.44
145,7.029166667,,,,4.041666667,,,,0.48
146,7.029166667,,,,4.045833333,,,,0.47
147,7.029166667,,,,4.05,,,,0.48
148,7.029166667,,,,4.054166667,,,,0.44
149,7.029166667,,,,4.058333333,,,,0.3
150,7.029166667,,,,4.0625,,,,0.35
151,7.029166667,,,,4.066666667,,,,0.31
152,7.029166667,,,,4.070833333,,,,0.32
153,7.029166667,,,,4.075,,,,0.31
154,7.029166667,,,,4.079166667,,,,0.25
155,7.033333333,,,,4,,,,0.27
156,7.033333333,,,,4.004166667,,,,0.3
157,7.033333333,,,,4.008333333,,,,0.45
158,7.033333333,,,,4.0125,,,,0.48
159,7.033333333,,,,4.016666667,,,,0.47
160,7.033333333,,,,4.020833333,,,,0.48
161,7.033333333,,,,4.025,,,,0.49
162,7.033333333,,,,4.029166667,,,,0.47
163,7.033333333,,,,4.033333333,,,,0.55
164,7.033333333,,,,4.0375,,,,0.45
165,7.033333333,,,,4.041666667,,,,0.45
166,7.033333333,,,,4.045833333,,,,0.44
167,7.033333333,,,,4.05,,,,0.46
168,7.033333333,,,,4.054166667,,,,0.45
169,7.033333333,,,,4.058333333,,,,0.22
170,7.033333333,,,,4.0625,,,,0.22
171,7.033333333,,,,4.066666667,,,,0.22
172,7.033333333,,,,4.070833333,,,,0.22
173,7.0375,,,,4,,,,0.22
174,7.0375,,,,4.004166667,,,,0.22
175,7.0375,,,,4.008333333,,,,0.22
176,7.0375,,,,4.0125,,,,0.12
